DEPTH,CAL,AC,GR,SP
228.453,22.742,180.855,63.548,53.002
228.578,22.751,181.382,63.294,55.703
228.703,22.771,182.132,63.175,57.86
228.828,22.78,182.347,63.115,58.543
228.953,22.791,182.193,63.013,58.979
229.078,22.795,181.951,63.881,58.267
229.203,22.797,181.941,65.189,57.482
229.328,22.801,181.976,69.131,55.025
229.453,22.805,182.238,73.285,51.419
229.578,22.806,182.394,75.169,49.258
229.703,22.807,182.364,78.312,44.501
229.828,22.807,182.138,79.187,42.067
229.953,22.806,181.564,79.329,37.546
230.078,22.808,181.249,79.195,34.009
230.203,22.811,181.201,80.019,32.682
230.328,22.822,180.974,83.573,30.822
230.453,22.841,180.042,86.899,29.796
230.578,22.856,179.418,87.626,29.519
230.703,22.901,178.55,86.882,29.233
230.828,22.963,178.168,84.145,28.952
230.953,22.993,178.064,82.701,28.71
231.078,23.039,178.619,80.928,28.019
231.203,23.054,179.197,81.02,27.573
231.328,23.077,180.454,82.714,26.562
231.453,23.096,183.684,83.033,25.591
231.578,23.102,185.751,81.692,25.145
231.703,23.109,190.077,77.524,24.33
231.828,23.115,196.363,75.513,23.519
231.953,23.119,201.632,75.746,23.07
232.078,23.125,215.911,77.057,22.117
232.203,23.133,227.924,77.943,21.057
232.328,23.136,231.478,77.694,20.514
232.453,23.14,234.97,75.665,19.411
232.578,23.142,232.498,72.823,18.397
232.703,23.145,230.377,71.913,17.931
232.828,23.145,232.544,72.25,17.095
232.953,23.141,236.9,73.552,16.733
233.078,23.127,243.361,77.58,15.93
233.203,23.116,253.802,80.413,14.141
233.328,23.12,268.179,80.557,12.437
233.453,23.298,309.611,80.914,7.08
233.578,24.379,347.75,86.266,-0.442
233.703,25.442,366.302,91.218,-4.669
233.828,28.102,394.852,101.841,-13.031
233.953,30.652,387.641,108.082,-20.013
234.078,31.08,372.971,109.065,-22.797
234.203,31.296,342.282,107.697,-27.306
234.328,31.29,328.673,105.652,-29.203
234.453,31.27,303.376,100.45,-32.458
234.578,31.282,287.143,96.926,-35.159
234.703,31.3,284.994,96.634,-36.37
234.828,31.322,287.192,98.51,-38.589
234.953,31.017,291.735,101.6,-40.486
235.078,30.596,296.366,103.852,-41.341
235.203,29.302,310.256,110.24,-42.891
235.328,28.051,326.787,117.221,-44.182
235.453,27.642,336.586,120.572,-44.727
235.578,27.188,353.049,127.822,-45.652
235.703,26.871,355.13,135.821,-46.366
235.828,26.714,353.407,139.016,-46.637
235.953,26.419,351.129,141.57,-47.068
236.078,26.284,349.92,141.817,-47.242
236.203,26.04,349.566,144.88,-47.482
236.328,25.817,356.036,153.7,-47.628
236.453,25.711,358.57,159.841,-47.681
236.578,25.519,351.744,174.484,-47.792
236.703,25.355,328.66,192.641,-47.909
236.828,25.275,314.872,202.619,-47.96
236.953,25.115,288.711,217.241,-47.908
237.078,24.991,268.172,214.596,-47.563
237.203,24.956,263.057,206.708,-47.272
237.328,24.928,265.873,187.408,-46.503
237.453,24.925,271.444,180.049,-46.07
237.578,24.927,283.29,171.752,-45.227
237.703,24.939,293.918,165.728,-44.562
237.828,24.947,299.547,162.013,-44.289
237.953,24.962,309.111,155.092,-43.811
238.078,24.972,308.735,150.752,-43.431
238.203,24.969,304.359,148.814,-43.265
238.328,24.941,290.693,142.887,-42.985
238.453,24.895,273.448,135.032,-42.814
238.578,24.874,264.804,131.966,-42.771
238.703,24.843,250.753,129.811,-42.771
238.828,24.822,244.322,132.267,-42.878
238.953,24.817,244.565,134.68,-42.97
239.078,24.835,251.351,140.101,-43.178
239.203,24.866,257.781,142.238,-43.297
239.328,24.984,276.581,142.869,-43.57
239.453,25.147,297.679,138.609,-43.849
239.578,25.226,305.956,135.881,-43.986
239.703,25.35,317.274,131.414,-44.366
239.828,25.436,324.515,129.711,-45.008
239.953,25.472,326.418,129.866,-45.432
240.078,25.531,329.784,131.334,-46.49
240.203,25.563,337.929,133.102,-47.737
240.328,25.568,341.874,133.7,-48.383
240.453,25.557,343.317,134.525,-49.677
240.578,25.505,340.997,132.758,-51.047
240.703,25.442,341.388,129.071,-51.782
240.828,25.172,342.372,114.259,-53.226
240.953,24.962,341.363,104.227,-53.874
241.078,24.496,340.765,85.819,-54.854
241.203,24.169,344.582,75.333,-55.276
241.328,24.099,344.836,72.992,-55.242
241.453,24.125,339.242,73.475,-54.776
241.578,24.327,331.25,80.763,-53.977
241.703,24.471,327.45,86.214,-53.519
241.828,24.772,319.86,97.246,-52.647
241.953,24.991,313.504,104.8,-51.952
242.078,25.053,311.806,107.049,-51.749
242.203,25.1,311.634,109.13,-51.76
242.328,25.092,312.5,109.241,-51.982
242.453,25.013,315.17,107.393,-52.783
242.578,24.843,319.31,100.883,-53.84
242.703,24.73,321.515,96.176,-54.367
242.828,24.511,324.363,87.785,-55.232
242.953,24.376,325.832,83.617,-55.662
243.078,24.341,326.863,82.877,-55.699
243.203,24.294,329.905,82.405,-55.482
243.328,24.238,333.104,82.374,-54.915
243.453,24.211,334.305,82.316,-54.507
243.578,24.193,336.488,81.366,-53.365
243.703,24.244,336.092,81.69,-51.693
243.828,24.305,334.035,83.901,-50.672
243.953,24.512,330.582,94.065,-48.351
244.078,24.644,330.226,101.356,-47.136
244.203,24.884,328.312,115.3,-44.793
244.328,25.015,325.617,124.166,-42.799
244.453,25.041,325.116,126.391,-41.99
244.578,25.068,321.643,126.877,-40.678
244.703,25.084,316.467,123.348,-39.628
244.828,25.085,314.812,121.008,-39.178
244.953,25.079,310.397,116.914,-38.391
245.078,25.071,307.384,113.778,-37.741
245.203,25.068,308.371,112.495,-37.462
245.328,25.051,311.986,111.15,-37.012
245.453,25.035,313.165,110.902,-36.863
245.578,25,312.901,109.677,-36.72
245.703,24.958,310.629,105.977,-36.751
245.828,24.924,310.455,103.358,-36.798
245.953,24.812,309.505,98.041,-36.78
246.078,24.702,304.786,95.108,-36.524
246.203,24.68,303.625,95.589,-36.288
246.328,24.717,303.294,100.055,-35.664
246.453,24.789,298.549,106.189,-35.07
246.578,24.81,296.008,108.536,-34.874
246.703,24.808,295.866,110.366,-34.834
246.828,24.748,297.115,108.184,-35.259
246.953,24.691,295.923,105.67,-35.597
247.078,24.479,293.172,98.361,-36.412
247.203,24.322,293.578,94.29,-36.817
247.328,23.976,297.049,88.03,-37.476
247.453,23.725,299.493,87.036,-37.861
247.578,23.666,301.021,88.131,-37.961
247.703,23.644,307.625,90.046,-38.056
247.828,23.639,314.546,87.747,-38.067
247.953,23.616,316.475,85.148,-38.043
248.078,23.547,318.855,80.523,-37.87
248.203,23.516,318.212,79.869,-37.543
248.328,23.532,316.641,80.59,-37.352
248.453,23.606,315.094,81.821,-36.92
248.578,23.647,315.891,81.708,-36.711
248.703,23.707,321.12,79.569,-36.298
248.828,23.741,330.763,75.495,-35.89
248.953,23.757,335.21,73.243,-35.651
249.078,23.79,340.374,69.096,-35.093
249.203,23.833,342.184,66.218,-34.491
249.328,23.866,343.132,65.492,-34.179
249.453,23.958,347.356,65.927,-33.53
249.578,24.066,349.611,67.802,-32.822
249.703,24.126,347.676,68.984,-32.418
249.828,24.275,339.153,73.543,-31.509
249.953,24.468,327.479,83.549,-30.598
250.078,24.567,321.374,89.961,-30.198
250.203,24.739,312.08,102.042,-29.702
250.328,24.807,309.676,106.258,-29.631
250.453,24.898,307.864,108.875,-29.825
250.578,24.923,304.36,104.276,-30.217
250.703,24.922,300.827,100.765,-30.42
250.828,24.928,295.173,94.895,-30.756
250.953,24.922,300.295,90.865,-30.946
251.078,24.884,307.003,88.247,-31.004
251.203,24.724,323.597,81.036,-31.046
251.328,24.568,336.556,74.5,-30.853
251.453,24.546,338.312,73.366,-30.619
251.578,24.65,329.351,77.081,-29.944
251.703,24.9,309.624,85.913,-29.13
251.828,25.045,299.762,90.18,-28.738
251.953,25.303,287.2,95.805,-28.071
252.078,25.397,285.343,97.604,-27.832
252.203,25.515,288.67,101.95,-27.53
252.328,25.575,298.015,109.017,-27.369
252.453,25.594,302.789,113.128,-27.361
252.578,25.604,310.909,119.753,-27.517
252.703,25.554,320.5,120.92,-27.916
252.828,25.497,323.813,118.94,-28.166
252.953,25.353,321.609,111.462,-28.671
253.078,25.245,313.392,104.083,-29.261
253.203,25.219,308.669,101.671,-29.57
253.328,25.199,297.914,99.091,-30.155
253.453,25.188,294.184,97.852,-30.45
253.578,25.149,294.824,93.861,-31.027
253.703,25.118,300.645,89.09,-31.433
253.828,25.124,303.201,87.536,-31.51
253.953,25.207,306.15,87.097,-31.383
254.078,25.351,304.727,89.519,-30.929
254.203,25.423,302.517,91.466,-30.599
254.328,25.546,298.282,96.212,-29.808
254.453,25.654,297.588,100.362,-28.934
254.578,25.709,298.282,101.715,-28.547
254.703,25.804,300.582,103.987,-27.925
254.828,25.829,305.366,107.677,-27.623
254.953,25.8,308.447,109.495,-27.641
255.078,25.631,313.457,109.613,-28.038
255.203,25.475,315.304,107.173,-28.378
255.328,25.024,319.558,98.677,-29.129
255.453,24.54,322.521,89.057,-29.745
255.578,24.366,321.773,84.88,-29.944
255.703,24.218,317.707,80.222,-30.114
255.828,24.223,316.816,81.564,-30.142
255.953,24.226,317.947,83.377,-30.148
256.078,24.202,321.595,85.961,-30.223
256.203,24.204,325.204,85.955,-30.358
256.328,24.245,325.75,85.742,-30.404
256.453,24.408,322.384,87.051,-30.329
256.578,24.513,318.604,88.56,-30.209
256.703,24.718,309.333,92.211,-29.911
256.828,24.858,302.959,94.636,-29.638
256.953,24.891,301.981,94.983,-29.562
257.078,24.867,303.837,94.496,-29.578
257.203,24.722,309.807,92.379,-29.724
257.328,24.622,313.152,90.512,-29.731
257.453,24.456,315.839,87.335,-29.495
257.578,24.458,313.972,89.965,-28.934
257.703,24.53,313.527,94.294,-28.576
257.828,24.725,313.456,105.451,-27.948
257.953,24.862,313.836,112.376,-27.895
258.078,24.886,316.031,112.488,-28.136
258.203,24.83,324.077,105.119,-28.999
258.328,24.745,327.74,98.487,-29.528
258.453,24.477,333.814,83.959,-30.509
258.578,24.136,342.027,73.659,-31.112
258.703,23.964,345.71,70.524,-31.199
258.828,23.66,347.948,66.475,-31.067
258.953,23.451,344.658,64.464,-30.715
259.078,23.384,341.95,64.237,-30.512
259.203,23.307,335.227,64.92,-30.047
259.328,23.303,330.291,66.847,-29.542
259.453,23.327,329.015,68.116,-29.286
259.578,23.396,327.317,70.521,-28.81
259.703,23.427,327.563,71.409,-28.581
259.828,23.455,331.824,72.022,-28.176
259.953,23.433,337.109,71.172,-27.865
260.078,23.406,338.98,70.336,-27.731
260.203,23.35,339.624,68.132,-27.48
260.328,23.348,335.175,67.711,-27.243
260.453,23.373,332.663,69.085,-27.102
260.578,23.446,328.408,74.719,-26.634
260.703,23.515,323.979,81.745,-25.915
260.828,23.55,322.57,85.411,-25.534
260.953,23.618,321.266,93.409,-24.948
261.078,23.637,321.19,98.041,-24.676
261.203,23.616,322.145,96.925,-24.668
261.328,23.554,325.294,89.355,-24.697
261.453,23.547,327.033,85.817,-24.62
261.578,23.639,329.611,85.121,-24.13
261.703,23.832,327.512,91.303,-23.314
261.828,23.916,324.875,94.337,-22.923
261.953,23.96,319.729,96.39,-22.284
262.078,23.842,315.509,93.075,-21.892
262.203,23.767,313.863,90.88,-21.781
262.328,23.659,313.555,88.982,-21.591
262.453,23.563,317.607,90.339,-21.358
262.578,23.483,320.584,90.568,-21.23
262.703,23.266,326.46,87.214,-20.92
262.828,23.076,329.206,80.722,-20.473
262.953,23.024,329.367,78.527,-20.127
263.078,23.015,328.604,79.606,-19.249
263.203,23.049,327.329,82.728,-18.748
263.328,23.144,325.193,90.132,-17.72
263.453,23.197,328.854,93.655,-16.855
263.578,23.189,331.33,93.417,-16.495
263.703,23.097,333.266,89.534,-15.917
263.828,22.939,335.699,81.792,-15.479
263.953,22.859,337.556,77.084,-15.272
264.078,22.746,339.151,68.95,-14.886
264.203,22.725,339.158,66.114,-14.56
264.328,22.737,339.827,66.492,-14.42
264.453,22.774,342.133,68.26,-14.14
264.578,22.79,343.067,68.988,-14.016
264.703,22.823,343.906,69.772,-13.795
264.828,22.875,345.305,70.723,-13.613
264.953,22.91,346.807,71.384,-13.562
265.078,22.985,350.668,71.939,-13.578
265.203,23.049,354.567,70.901,-13.73
265.328,23.075,355.678,70.402,-13.813
265.453,23.132,352.98,71.864,-13.964
265.578,23.219,344.451,77.493,-14.13
265.703,23.275,339.503,80.946,-14.249
265.828,23.367,329.031,86.066,-14.661
265.953,23.398,321.006,87.752,-15.248
266.078,23.413,319.508,88.235,-15.552
266.203,23.518,318.629,91.682,-16.074
266.328,23.619,317.399,95.27,-16.241
266.453,23.883,313.674,104.543,-16.289
266.578,24.139,310.907,112.429,-16.116
266.703,24.246,309.889,115.021,-16.022
266.828,24.405,308.403,117.844,-15.965
266.953,24.491,309.001,117.116,-16.228
267.078,24.491,310.655,114.413,-16.472
267.203,24.324,315.587,103.579,-17.067
267.328,23.914,319.117,89.608,-17.61
267.453,23.678,320.935,83.815,-17.802
267.578,23.312,327.559,77.48,-17.961
267.703,23.209,331.326,76.61,-17.92
267.828,23.11,336.783,76.834,-17.726
267.953,23.059,341.765,76.977,-17.501
268.078,23.045,343.637,76.952,-17.369
268.203,23.046,342.283,77.651,-17.124
268.328,23.063,337.265,77.781,-16.888
268.453,23.068,335.465,76.75,-16.773
268.578,23.072,334.007,73.148,-16.503
268.703,23.078,335.375,71.578,-16.16
268.828,23.083,336.871,72.349,-15.958
268.953,23.097,340.027,74.96,-15.469
269.078,23.123,341.417,76.936,-14.796
269.203,23.153,340.974,78.389,-14.343
269.328,23.317,338.138,85.195,-13.231
269.453,23.469,335.896,90.787,-12.62
269.578,23.854,329.747,103.313,-11.456
269.703,24.172,323.893,112.865,-10.728
269.828,24.257,322.321,115.403,-10.632
269.953,24.242,322.431,114.274,-10.975
270.078,24.01,327.041,104.243,-11.732
270.203,23.85,330.602,96.892,-12.136
270.328,23.58,336.925,82.609,-12.817
270.453,23.473,339.612,74.396,-13.218
270.578,23.465,339.794,72.749,-13.321
270.703,23.469,338.575,72.014,-13.45
270.828,23.465,337.493,72.469,-13.483
270.953,23.442,334.867,74.945,-13.484
271.078,23.431,330.932,79.027,-13.311
271.203,23.453,328.431,81.255,-13.093
271.328,23.638,323.001,86.414,-12.428
271.453,24.059,317.477,93.948,-11.641
271.578,24.319,314.984,97.666,-11.32
271.703,24.78,310.787,102.131,-11.026
271.828,25.001,307.803,101.603,-11.334
271.953,25.017,307.015,99.611,-11.681
272.078,24.95,306.4,93.199,-12.474
272.203,24.887,305.854,86.547,-13.058
272.328,24.899,305.479,84.239,-13.202
272.453,25.024,304.275,82.764,-13.178
272.578,25.115,303.228,83.659,-13.045
272.703,25.294,300.531,88.339,-12.586
272.828,25.431,299.789,95.151,-11.997
272.953,25.488,300.873,98.854,-11.686
273.078,25.588,304.99,106.032,-11.064
273.203,25.643,310.403,112.573,-10.516
273.328,25.649,313.112,115.773,-10.26
273.453,25.641,316.475,122.439,-9.838
273.578,25.643,315.786,127.144,-9.494
273.703,25.652,314.667,127.634,-9.341
273.828,25.688,312.876,125.935,-9.098
273.953,25.75,311.516,124.376,-8.982
274.078,25.79,310.828,123.874,-8.968
274.203,25.879,309.847,121.416,-9.006
274.328,25.924,309.011,119.323,-9.044
274.453,26.006,305.799,114.751,-9.13
274.578,26.082,304.544,112.688,-9.161
274.703,26.12,305.382,113.377,-9.16
274.828,26.188,307.064,116.942,-9.21
274.953,26.232,308.313,119.086,-9.389
275.078,26.237,308.934,118.28,-9.558
275.203,26.159,307.757,112.851,-10.058
275.328,25.888,304.319,105.785,-10.576
275.453,25.682,304.325,102.549,-10.736
275.578,25.285,312.518,98.55,-10.735
275.703,25.179,320.074,98.678,-10.58
275.828,25.234,332.533,105.051,-10.061
275.953,25.45,331.775,116.752,-9.5
276.078,25.519,327.185,121.581,-9.289
276.203,25.518,311.723,125.23,-9.111
276.328,25.438,288.498,124.11,-9.165
276.453,25.41,277.561,124.631,-9.233
276.578,25.392,265.581,130.985,-9.438
276.703,25.408,266.737,145.001,-9.659
276.828,25.43,271.141,155.28,-9.789
276.953,25.524,288.028,179.469,-10.034
277.078,25.672,312.5,196.389,-10.298
277.203,25.745,323.69,197.091,-10.442
277.328,25.849,334.759,181.068,-10.75
277.453,25.877,333.42,167.823,-10.932
277.578,25.891,323.349,141.683,-11.311
277.703,25.84,315.777,123.832,-11.778
277.828,25.783,314.894,118.315,-12.09
277.953,25.539,318.465,110.391,-12.895
278.078,25.073,326.933,101.462,-13.858
278.203,24.802,330.046,96.516,-14.309
278.328,24.389,327.973,90.201,-15.024
278.453,24.311,318.29,92.885,-15.33
278.578,24.371,313.401,96.595,-15.379
278.703,24.521,307.54,102.103,-15.462
278.828,24.553,307.577,101.941,-15.561
278.953,24.478,312.63,96.487,-15.92
279.078,24.319,321.141,89.336,-16.422
279.203,24.268,325.869,86.522,-16.663
279.328,24.269,331.951,82.502,-17.039
279.453,24.338,330.294,79.486,-17.213
279.578,24.372,328.482,78.945,-17.243
279.703,24.422,327.153,79.902,-17.153
279.828,24.451,328.641,80.682,-16.871
279.953,24.462,330.169,80.256,-16.658
280.078,24.483,333.632,78.441,-16.089
280.203,24.5,333.828,78.552,-15.344
280.328,24.513,331.765,80.411,-14.879
280.453,24.591,323.833,88.249,-13.715
280.578,24.68,319.028,93.89,-13.03
280.703,24.968,311.673,106.317,-11.598
280.828,25.3,308.877,116.959,-10.258
280.953,25.441,307.751,120.653,-9.678
281.078,25.658,303.627,123.48,-8.775
281.203,25.833,298.536,120.897,-8.153
281.328,25.916,295.903,118.616,-7.901
281.453,26.066,289.918,114.774,-7.411
281.578,26.187,287,113.037,-6.907
281.703,26.238,287.88,112.538,-6.659
281.828,26.318,290.659,110.92,-6.222
281.953,26.341,291.046,109.596,-6.047
282.078,26.346,290.026,106.978,-5.833
282.203,26.301,286.793,105.553,-5.912
282.328,26.264,284.133,104.792,-6.078
282.453,26.13,280.161,101.491,-6.581
282.578,25.872,282.982,96.105,-7.164
282.703,25.705,286.771,93.642,-7.41
282.828,25.377,295.65,90.163,-7.652
282.953,25.157,302.357,88.469,-7.392
283.078,25.11,304.183,88.472,-7.058
283.203,25.173,304.066,90.968,-6.138
283.328,25.41,300.071,96.334,-5.084
283.453,25.545,298.815,99.339,-4.592
283.578,25.756,299.556,104.529,-3.823
283.703,25.823,299.688,106.56,-3.578
283.828,25.92,296.526,109.42,-3.325
283.953,25.994,291.792,110.855,-3.294
284.078,26.021,289.13,111.177,-3.334
284.203,26.056,282.772,111.433,-3.473
284.328,26.07,278.803,112.236,-3.61
284.453,26.071,278.707,113.318,-3.659
284.578,26.069,280.625,116.327,-3.702
284.703,26.067,283.04,118.905,-3.662
284.828,26.066,283.186,119.792,-3.622
284.953,26.058,279.31,121.812,-3.549
285.078,26.049,275.977,123.36,-3.53
285.203,26.017,267.837,127.577,-3.574
285.328,25.972,258.436,132.95,-3.699
285.453,25.951,256.207,136.427,-3.761
285.578,25.937,259.943,144.74,-3.928
285.703,25.987,265.973,149.429,-4.123
285.828,26.034,268.224,147.897,-4.219
285.953,26.137,270.848,136.246,-4.364
286.078,26.209,265.521,120.524,-4.46
286.203,26.23,260.492,114.861,-4.482
286.328,26.251,251.696,109.972,-4.461
286.453,26.253,247.55,109.78,-4.358
286.578,26.248,248.688,110.275,-4.306
286.703,26.237,259.161,113.693,-4.226
286.828,26.234,267.281,117.631,-4.206
286.953,26.236,286.5,129.035,-4.241
287.078,26.252,305.196,140.787,-4.381
287.203,26.263,311.697,145.719,-4.478
287.328,26.289,317.522,152.305,-4.724
287.453,26.309,315.968,152.984,-4.951
